dcid	tpid
DC00458	TP00101
DC02041	TP00101
DC02073	TP00101
DC02287	TP00101
DC01082	TP00844
DC01531	TP00844
DC01646	TP00844
DC00749	TP00844
DC01065	TP00844
DC00127	TP00844
DC00762	TP00844
DC00326	TP00844
DC00745	TP00844
DC01358	TP00845
DC01074	TP00845
DC01062	TP00845
DC01492	TP00845
DC01630	TP00845
DC00756	TP00845
DC00726	TP00845
DC01629	TP00845
DC02153	TP00845
DC02046	TP00845
DC02082	TP00845
DC01042	TP00846
DC01157	TP00846
DC01223	TP00846
DC01157	TP00847
DC01223	TP00847
DC01042	TP00847
DC02189	TP00848
DC02006	TP00849
DC01049	TP00850
DC01080	TP00850
DC01151	TP00850
DC01504	TP00851
DC01043	TP00851
DC01151	TP00852
DC01080	TP00852
DC01049	TP00852
DC01644	TP00853
DC01640	TP00854
DC01493	TP00855
DC01071	TP00856
DC01386	TP00857
DC01226	TP00857
DC01072	TP00857
DC00996	TP00857
DC01084	TP00857
DC01061	TP00857
DC01386	TP00858
DC01061	TP00858
DC01084	TP00858
DC01226	TP00858
DC01061	TP00859
DC01386	TP00860
DC00996	TP00860
DC01061	TP00860
DC01072	TP00860
DC01226	TP00860
DC01084	TP00860
DC01386	TP00861
DC00996	TP00861
DC01061	TP00861
DC01072	TP00861
DC01226	TP00861
DC01084	TP00861
DC01386	TP00862
DC01061	TP00862
DC01226	TP00862
DC01084	TP00862
DC01386	TP00863
DC01084	TP00863
DC01226	TP00863
DC01061	TP00863
DC01386	TP00864
DC00413	TP00864
DC01226	TP00864
DC01084	TP00864
DC01061	TP00864
DC01386	TP00865
DC01061	TP00865
DC01084	TP00865
DC01226	TP00865
DC01386	TP00866
DC01084	TP00866
DC01072	TP00866
DC00996	TP00866
DC01226	TP00866
DC01061	TP00866
DC01386	TP00867
DC01226	TP00867
DC01084	TP00867
DC01061	TP00867
DC01503	TP00868
DC01145	TP00868
DC01667	TP00868
DC01069	TP00868
DC00763	TP00869
DC01051	TP00870
DC01057	TP00870
DC01051	TP00871
DC01057	TP00871
DC00103	TP00872
DC01358	TP00873
DC00739	TP00873
DC01050	TP00873
DC00722	TP00873
DC00556	TP00873
DC00837	TP00873
DC01204	TP00873
DC01040	TP00873
DC00778	TP00873
DC01078	TP00873
DC00103	TP00874
DC00744	TP00875
DC00747	TP00876
DC01083	TP00877
DC00092	TP00878
DC00092	TP00879
DC01359	TP00880
DC01244	TP00880
DC01048	TP00880
DC01055	TP00880
DC00098	TP00880
DC01060	TP00881
DC01055	TP00881
DC00098	TP00881
DC01041	TP00882
DC01148	TP00882
DC01080	TP00882
DC01218	TP00882
DC01049	TP00882
DC01070	TP00882
DC01632	TP00882
DC01068	TP00882
DC01220	TP00882
DC01151	TP00882
DC00329	TP00882
DC00742	TP00883
DC00740	TP00884
DC00071	TP00884
DC00737	TP00884
DC01053	TP00884
DC00101	TP00884
DC00895	TP00884
DC00748	TP00884
DC00734	TP00884
DC00075	TP00884
DC00724	TP00884
DC01923	TP00884
DC02188	TP00885
DC01384	TP00886
DC01440	TP00886
DC01081	TP00886
DC01637	TP00886
DC01073	TP00886
DC00538	TP00886
DC01494	TP00886
DC01880	TP00886
DC01222	TP00886
DC00755	TP00886
DC00530	TP00886
DC00099	TP00886
DC01526	TP00886
DC01440	TP00887
DC01384	TP00887
DC01081	TP00887
DC01526	TP00887
DC01880	TP00887
DC01494	TP00887
DC00538	TP00887
DC01073	TP00887
DC00530	TP00887
DC01637	TP00887
DC00755	TP00887
DC01222	TP00887
DC00099	TP00887
DC01034	TP00888
DC01034	TP00889
DC01504	TP00890
DC01041	TP00891
DC01148	TP00891
DC00330	TP00891
DC00660	TP00891
DC00129	TP00891
DC00657	TP00891
DC00816	TP00891
DC01224	TP00891
DC01635	TP00891
DC00654	TP00891
DC00655	TP00891
DC01221	TP00891
DC00733	TP00891
DC00760	TP00891
DC01647	TP00891
DC01058	TP00891
DC01077	TP00891
DC01642	TP00891
DC01044	TP00891
DC01641	TP00891
DC01079	TP00891
DC00979	TP00891
DC00813	TP00891
DC00656	TP00891
DC01387	TP00891
DC02186	TP00891
DC02179	TP00891
DC02029	TP00891
DC02019	TP00891
DC02065	TP00891
DC02033	TP00891
DC01383	TP00892
DC01085	TP00892
DC00087	TP00892
DC01533	TP00892
DC00754	TP00892
DC01075	TP00892
DC00100	TP00892
DC01634	TP00892
DC01039	TP00892
DC00759	TP00892
