dcid	tpid
DC01361	TP01350
DC01135	TP00824
DC00609	TP00922
DC01357	TP01245
DC00866	TP01581
DC00663	TP01469
DC01624	TP01502
DC01615	TP01540
DC01981	TP00953
DC01884	TP01347
DC01512	TP01461
DC00516	TP01604
DC01943	TP01031
DC01881	TP01159
DC01455	TP01104
DC01459	TP00359
DC01125	TP00227
DC00943	TP00383
DC01755	TP00680
DC01357	TP01224
DC01457	TP00412
DC00332	TP00723
DC01742	TP01588
DC00989	TP00676
DC01708	TP01363
DC00175	TP00741
DC00619	TP01367
DC01140	TP00169
DC01259	TP00630
DC01188	TP01046
DC01369	TP01398
DC01653	TP00635
DC01587	TP01378
DC01769	TP01157
DC00371	TP01136
DC01911	TP01186
DC01238	TP00656
DC00612	TP01503
DC01357	TP01256
DC00794	TP01628
DC01954	TP01211
DC01184	TP01033
DC00947	TP00415
DC01258	TP01469
DC00387	TP01586
DC00351	TP00393
DC01981	TP00958
DC00621	TP01064
DC01474	TP00662
DC00359	TP00741
DC00138	TP00159
DC01495	TP01252
DC01512	TP00226
DC01740	TP01558
DC00069	TP00236
DC01664	TP01540
DC00855	TP00453
DC00796	TP01307
DC00014	TP00667
DC00203	TP00387
DC01970	TP01331
DC00414	TP01232
DC01679	TP01616
DC01702	TP01528
DC01163	TP00655
DC00311	TP00414
DC01188	TP01047
DC00349	TP00400
DC01658	TP00639
DC01421	TP01378
DC00516	TP00208
DC00025	TP00635
DC01772	TP01308
DC01815	TP01410
DC01825	TP00717
DC01473	TP00189
DC00150	TP01306
DC00380	TP00200
DC01272	TP01395
DC00962	TP00733
DC01590	TP00981
DC00567	TP00302
DC01371	TP00281
DC00807	TP00984
DC01190	TP01051
DC00012	TP00627
DC01111	TP01513
DC01818	TP00322
DC01511	TP00214
DC00549	TP00205
DC01416	TP00706
DC00804	TP01189
DC01958	TP00981
DC01888	TP01273
DC00958	TP01190
DC00998	TP01016
DC01173	TP00655
DC00621	TP01031
DC00800	TP01551
DC01403	TP00701
DC00465	TP01544
DC01110	TP01186
DC00676	TP00920
DC00115	TP01329
DC00623	TP00985
DC01881	TP01203
DC01625	TP00660
DC01903	TP00680
DC00802	TP01551
DC01588	TP00143
DC00164	TP00368
DC00034	TP00664
DC01000	TP01187
DC01416	TP00708
DC01237	TP00630
DC01726	TP00794
DC01110	TP01231
DC00896	TP01398
DC01282	TP00273
DC01317	TP00762
DC00980	TP01374
DC00194	TP00810
DC01154	TP01111
DC01479	TP01411
DC00927	TP00337
DC00934	TP00393
DC01110	TP01156
DC00024	TP00333
DC01416	TP00707
DC00234	TP00741
DC00491	TP01173
DC01507	TP01529
DC00978	TP00184
DC01954	TP01251
DC00018	TP00655
DC01951	TP01122
DC00158	TP00644
DC00148	TP01063
DC00783	TP00677
DC01203	TP01281
DC01001	TP01157
DC01769	TP01243
DC00497	TP00631
DC00804	TP01254
DC01616	TP00691
DC00142	TP00241
DC01565	TP01457
DC01228	TP01584
DC01884	TP01346
DC00939	TP00347
DC00954	TP01551
DC00270	TP00106
DC00308	TP00377
DC00799	TP01031
DC01690	TP01335
DC01942	TP00251
DC00298	TP00253
DC00688	TP00354
DC01587	TP01111
DC00694	TP01404
DC00548	TP00209
DC01390	TP00600
DC01678	TP01159
DC00999	TP01258
DC01156	TP01049
DC00035	TP00653
DC00968	TP01552
DC00625	TP00741
DC01615	TP01533
DC01694	TP01522
DC01468	TP00798
DC01515	TP00794
DC01439	TP01588
DC00152	TP00828
DC00950	TP00347
DC00620	TP01623
DC01513	TP00224
DC01969	TP01446
DC01282	TP00274
DC00431	TP01613
DC01191	TP00175
DC00392	TP01627
DC01001	TP01200
DC01676	TP01353
DC00913	TP01592
DC01692	TP00180
DC01357	TP01237
DC00431	TP01615
DC01769	TP01212
DC00541	TP00224
DC01517	TP00192
DC01907	TP00190
DC01861	TP00653
DC01672	TP01212
DC01769	TP01187
DC01693	TP01100
DC01925	TP01398
DC01860	TP00628
DC01511	TP00213
DC00887	TP00173
DC01976	TP00988
DC01346	TP00781
DC00648	TP01318
DC00373	TP01504
DC01357	TP01191
DC00887	TP00168
DC00691	TP01376
DC01658	TP00663
DC00469	TP01259
DC01357	TP01244
DC00157	TP00982
DC01357	TP01206
DC00800	TP01549
DC01185	TP00655
DC01169	TP00656
DC01670	TP01260
DC01663	TP01028
DC01269	TP00311
DC01303	TP01404
DC01319	TP01292
DC00156	TP01541
DC00997	TP00819
DC00111	TP00383
DC01882	TP01358
DC01965	TP00589
DC01676	TP01366
DC00616	TP00830
DC00313	TP00372
DC01940	TP01072
DC00620	TP01611
DC01177	TP00655
DC01266	TP01374
DC00238	TP00837
DC00719	TP01100
DC00923	TP00268
DC01724	TP01329
DC00191	TP00650
DC00988	TP01520
DC01122	TP01122
DC01704	TP01395
DC01670	TP01261
DC00055	TP00223
DC01318	TP01293
DC00817	TP01274
DC00808	TP00196
DC01529	TP01452
DC01734	TP01523
DC01654	TP00631
DC01185	TP00656
DC00799	TP01063
DC01692	TP00181
DC01605	TP01529
DC00957	TP01485
DC01235	TP01031
DC01000	TP01157
DC01455	TP01099
DC01186	TP00941
DC00827	TP00167
DC01022	TP01035
DC01007	TP00360
DC00872	TP01401
DC01391	TP00597
DC01123	TP01437
DC01959	TP01200
DC00085	TP00347
DC01725	TP01577
DC01594	TP01157
DC00622	TP01425
DC01495	TP01180
DC01154	TP01378
DC00691	TP01124
DC00998	TP01012
DC01193	TP01026
DC01288	TP00285
DC00317	TP00323
DC00491	TP01257
DC01119	TP01502
DC01816	TP01285
DC00879	TP01325
DC00784	TP00821
DC01110	TP01169
DC01843	TP00679
DC00143	TP00365
DC01287	TP00282
DC01784	TP01095
DC01281	TP00280
DC01754	TP01170
DC01110	TP01179
DC01014	TP00107
DC01911	TP01211
DC01888	TP01278
DC00616	TP00829
DC01506	TP00684
DC00351	TP00392
DC00406	TP01589
DC00013	TP00108
DC00621	TP01032
DC01955	TP01460
DC00934	TP00392
DC01399	TP00704
DC00521	TP00108
DC01196	TP01105
DC01243	TP00721
DC01585	TP01145
DC01911	TP01242
DC01513	TP01427
DC01865	TP01490
DC01588	TP01562
DC01738	TP00205
DC00025	TP00660
DC01482	TP01329
DC01609	TP01491
DC01672	TP01234
DC01500	TP01346
DC01626	TP01395
DC00944	TP00380
DC01455	TP01089
DC01786	TP00946
DC00593	TP00324
DC00839	TP01051
DC00921	TP00412
DC00483	TP01602
DC00228	TP00766
DC00658	TP00977
DC01153	TP01111
DC01169	TP00631
DC00691	TP01109
DC01949	TP01074
DC01733	TP01469
DC01343	TP00340
DC01902	TP01187
DC01659	TP00655
DC01014	TP00108
DC01168	TP00621
DC01182	TP01037
DC00030	TP00659
DC01173	TP00622
DC00868	TP01542
DC00288	TP00342
DC01841	TP01586
DC01881	TP01189
DC00496	TP00224
DC01403	TP00704
DC01015	TP00108
DC00466	TP01475
DC00155	TP01283
DC00882	TP01597
DC00787	TP01424
DC01475	TP01138
DC01886	TP01370
DC01352	TP00778
DC01784	TP01100
DC01432	TP00829
DC00034	TP00638
DC00039	TP00656
DC00485	TP01175
DC00798	TP00151
DC01357	TP01213
DC00013	TP00109
DC00155	TP01277
DC01302	TP00288
DC00566	TP01558
DC01840	TP01025
DC01491	TP01414
DC00878	TP01326
DC01431	TP00828
DC01764	TP01590
DC01416	TP00701
DC01700	TP01378
DC00029	TP00668
DC01483	TP01310
DC00003	TP01568
DC00799	TP01065
DC00532	TP01092
DC01941	TP01144
DC01660	TP00631
DC00394	TP00670
DC00719	TP01095
DC01535	TP01329
DC01001	TP01252
DC00296	TP00375
DC00007	TP00625
DC01837	TP00178
DC00485	TP01194
DC01520	TP01348
DC01669	TP01262
DC01007	TP00361
DC00402	TP01398
DC01988	TP00191
DC00425	TP01329
DC01253	TP01426
DC01251	TP00775
DC00699	TP01329
DC00620	TP01619
DC01664	TP01533
DC01722	TP01395
DC01884	TP01360
DC00885	TP00649
DC01840	TP01057
DC01435	TP00822
DC01376	TP01603
DC00904	TP01404
DC00289	TP00343
DC01126	TP01186
DC01927	TP00741
DC00434	TP00921
DC01553	TP01533
DC00448	TP01538
DC01357	TP01223
DC01769	TP01200
DC00903	TP01586
DC01320	TP00313
DC00569	TP01582
DC00991	TP00431
DC01825	TP00718
DC01706	TP01252
DC00893	TP00981
DC01621	TP01378
DC00431	TP01622
DC01877	TP00285
DC01577	TP01555
DC01264	TP01404
DC00521	TP00109
DC00547	TP01581
DC01731	TP01378
DC00427	TP00359
DC01031	TP00930
DC01196	TP01095
DC00050	TP00804
DC00166	TP00368
DC01941	TP01143
DC01752	TP01271
DC01147	TP01318
DC00953	TP00388
DC01537	TP00628
DC01858	TP00631
DC00691	TP01123
DC01652	TP00656
DC01114	TP00641
DC00051	TP00804
DC00997	TP00815
DC01693	TP01095
DC01942	TP00257
DC01014	TP00109
DC00613	TP01064
DC00542	TP00662
DC00014	TP00642
DC00886	TP00648
DC01015	TP00109
DC00710	TP00148
DC00704	TP01387
DC00271	TP00366
DC01122	TP01375
DC01029	TP01291
DC00174	TP01463
DC01926	TP01395
DC00917	TP00389
DC00562	TP00259
DC01738	TP01604
DC00998	TP01014
DC01260	TP01594
DC00949	TP00381
DC01488	TP01410
DC00799	TP01033
DC01981	TP00949
DC01710	TP01581
DC00491	TP01204
DC01587	TP01125
DC01558	TP01582
DC00997	TP00817
DC01535	TP01326
DC01886	TP01368
DC00018	TP00630
DC00774	TP00589
DC01876	TP01484
DC01584	TP01533
DC01875	TP01481
DC01344	TP00758
DC00400	TP01560
DC01658	TP00664
DC01966	TP01596
DC00520	TP00110
DC00622	TP01422
DC00531	TP00223
DC01407	TP00311
DC01539	TP00975
DC00469	TP01225
DC01372	TP00617
DC00513	TP00443
DC01177	TP00630
DC01840	TP01056
DC01951	TP01108
DC01000	TP01252
DC01403	TP00705
DC01575	TP01533
DC00845	TP00448
DC01434	TP00827
DC01110	TP01199
DC00170	TP00170
DC00141	TP00261
DC01887	TP00185
DC00644	TP00775
DC01802	TP00740
DC00708	TP01590
DC01344	TP00751
DC01906	TP01416
DC00873	TP01450
DC01659	TP00631
DC01344	TP00753
DC01357	TP01163
DC00537	TP00662
DC01175	TP01033
DC01679	TP01617
DC01195	TP00631
DC00787	TP01422
DC01008	TP00110
DC01563	TP01311
DC00563	TP00789
DC01663	TP01027
DC01780	TP01520
DC01138	TP00817
DC00512	TP00269
DC01884	TP01361
DC00447	TP01515
DC01107	TP00978
DC01942	TP00244
DC00706	TP00150
DC00469	TP01238
DC01720	TP01573
DC01954	TP01156
DC00197	TP00834
DC01126	TP01263
DC00182	TP00836
DC00864	TP00409
DC00601	TP00927
DC01032	TP01599
DC00685	TP00589
DC01706	TP01157
DC01357	TP01174
DC00516	TP00205
DC00394	TP00645
DC01911	TP01231
DC01001	TP01187
DC01576	TP01350
DC00782	TP00677
DC01656	TP00637
DC01171	TP01061
DC01954	TP01220
DC01357	TP01162
DC01945	TP00940
DC00828	TP00237
DC01410	TP00716
DC00801	TP01484
DC01539	TP00976
DC01914	TP00232
DC00885	TP00676
DC00421	TP00627
DC00230	TP00111
DC00456	TP01140
DC00170	TP00169
DC00300	TP00410
DC00675	TP00111
DC00659	TP01469
DC01438	TP00650
DC01242	TP00729
DC00544	TP00224
DC00278	TP00355
DC00184	TP00815
DC01677	TP00315
DC00315	TP00347
DC01344	TP00756
DC01031	TP00934
DC01256	TP01598
DC01981	TP00955
DC00871	TP01576
DC01126	TP01231
DC01864	TP00285
DC01031	TP00932
DC00564	TP01598
DC01656	TP00661
DC01357	TP01265
DC01294	TP01465
DC00613	TP01031
DC00929	TP00341
DC00885	TP00624
DC01981	TP00959
DC01423	TP01378
DC01896	TP01418
DC00890	TP00981
DC01354	TP00761
DC01182	TP01039
DC01527	TP01569
DC00036	TP00653
DC01732	TP01552
DC00776	TP00199
DC01899	TP01418
DC01670	TP01196
DC01182	TP01005
DC01416	TP00704
DC01110	TP01211
DC01655	TP00655
DC01957	TP00291
DC00487	TP01247
DC00806	TP00982
DC00244	TP00415
DC00638	TP01326
DC01675	TP01202
DC01165	TP01022
DC00118	TP00220
DC01105	TP00826
DC00532	TP01088
DC01522	TP01435
DC01019	TP00112
DC00818	TP00770
DC01183	TP01042
DC01758	TP01596
DC00015	TP00631
DC01555	TP00980
DC01910	TP01510
DC00965	TP01341
DC01144	TP01132
DC00052	TP00805
DC01962	TP01195
DC00540	TP00739
DC00112	TP01338
DC01396	TP00721
DC00688	TP00375
DC01610	TP00192
DC00298	TP00260
DC00354	TP00207
DC01872	TP01495
DC01422	TP01378
DC01179	TP01063
DC01155	TP01125
DC01463	TP00597
DC00255	TP00147
DC01287	TP00283
DC00540	TP00738
DC00062	TP00287
DC01942	TP00250
DC00396	TP01560
DC00491	TP01162
DC01617	TP01438
DC00972	TP00727
DC01456	TP00737
DC01389	TP00208
DC01675	TP01189
DC01234	TP00178
DC01175	TP01031
DC01134	TP00826
DC01482	TP01335
DC01399	TP00703
DC00303	TP00392
DC01460	TP00366
DC00012	TP00652
DC00639	TP01060
DC01168	TP00630
DC00027	TP00668
DC00478	TP01515
DC00024	TP00332
DC00079	TP01395
DC01165	TP01055
DC00549	TP01604
DC00605	TP01598
DC01970	TP01336
DC00004	TP00302
DC01785	TP01100
DC00009	TP00333
DC00451	TP01299
DC01673	TP00952
DC01437	TP00813
DC01911	TP01199
DC00709	TP00147
DC00077	TP01400
DC00233	TP01270
DC00840	TP01305
DC01518	TP00186
DC01299	TP01484
DC00471	TP01602
DC01169	TP00655
DC01582	TP00589
DC01896	TP01437
DC00875	TP00814
DC00821	TP01274
DC01658	TP00638
DC01344	TP00754
DC00078	TP01392
DC00999	TP01191
DC01796	TP00968
DC00039	TP00631
DC00468	TP01538
DC01156	TP01018
DC01696	TP00798
DC00697	TP00452
DC01578	TP01605
DC00169	TP01316
DC01741	TP01329
DC00611	TP01473
DC00999	TP01206
DC01944	TP01010
DC01286	TP00281
DC00504	TP01448
DC01939	TP01586
DC00491	TP01245
DC01403	TP00710
DC00462	TP01544
DC00877	TP00113
DC01163	TP00656
DC01237	TP00655
DC01033	TP01460
DC00294	TP00392
DC01126	TP01242
DC01824	TP00728
DC00421	TP00652
DC00082	TP01395
DC01669	TP01178
DC01861	TP00628
DC01959	TP01187
DC01239	TP00674
DC00132	TP00160
DC01739	TP01478
DC00481	TP01515
DC00376	TP01639
DC00511	TP01570
DC01740	TP01557
DC01853	TP00431
DC01674	TP01551
DC01113	TP01281
DC00018	TP00656
DC01962	TP01154
DC01357	TP01267
DC01394	TP00311
DC00612	TP01504
DC01124	TP00978
DC00116	TP01325
DC00196	TP00808
DC01617	TP01439
DC00160	TP01131
DC01787	TP01404
DC00073	TP01398
DC00141	TP00240
DC00914	TP00161
DC01114	TP00666
DC01981	TP00956
DC01268	TP00311
DC01962	TP01184
DC01168	TP00622
DC01005	TP00375
DC01672	TP01200
DC00399	TP00630
DC01669	TP01230
DC01512	TP01456
DC00039	TP00655
DC01174	TP01020
DC01181	TP01026
DC01673	TP00949
DC01453	TP00960
DC01981	TP00957
DC01751	TP00922
DC01235	TP01063
DC01828	TP00687
DC00284	TP00326
DC00789	TP00223
DC01886	TP01355
DC01373	TP00775
DC01018	TP00114
DC01746	TP00981
DC01018	TP00115
DC01110	TP01251
DC01174	TP01052
DC00136	TP00157
DC01962	TP01196
DC01352	TP00779
DC01179	TP01031
DC01188	TP01015
DC00807	TP00982
DC01173	TP00621
DC00639	TP01027
DC01855	TP00640
DC00517	TP00116
DC01611	TP00285
DC01130	TP00596
DC00791	TP01151
DC01688	TP01599
DC01446	TP00375
DC00231	TP00116
DC00616	TP00828
DC01901	TP01586
DC00802	TP01549
DC00825	TP01596
DC00057	TP00268
DC01955	TP01455
DC01091	TP01586
DC01194	TP00674
DC01759	TP01584
DC00432	TP01602
DC01735	TP01075
DC00042	TP01157
DC01736	TP00299
DC01126	TP01251
DC01559	TP01558
DC00698	TP00303
DC00941	TP00337
DC00664	TP01417
DC01198	TP01377
DC00027	TP00643
DC01672	TP01170
DC00505	TP01576
DC01420	TP01378
DC01810	TP00984
DC01121	TP01303
DC00910	TP00986
DC00969	TP01030
DC00879	TP01328
DC01940	TP01071
DC00142	TP00248
DC00117	TP00966
DC00275	TP00348
DC01897	TP01418
DC01842	TP01378
DC01618	TP00773
DC01181	TP01058
DC00998	TP01047
DC01690	TP01329
DC01377	TP00736
DC01831	TP01600
DC00015	TP00630
DC00881	TP01597
DC01100	TP01505
DC01711	TP01581
DC00041	TP00771
DC01673	TP00958
DC01914	TP00229
DC01033	TP01455
DC00309	TP00350
DC01673	TP00951
DC01185	TP00630
DC01399	TP00705
DC01481	TP01593
DC00491	TP01205
DC00053	TP00802
DC01773	TP01335
DC01140	TP00171
DC00690	TP01040
DC00159	TP01609
DC01352	TP00780
DC00878	TP01329
DC00319	TP00406
DC01721	TP00589
DC00998	TP01048
DC00519	TP00116
DC01126	TP01199
DC00522	TP00117
DC00899	TP01309
DC00562	TP00252
DC01495	TP01187
DC00622	TP01442
DC00537	TP00637
DC01570	TP01378
DC00931	TP00162
DC01650	TP00643
DC00695	TP00294
DC00304	TP00409
DC01499	TP00300
DC01486	TP01593
DC00531	TP00224
DC00412	TP01229
DC01890	TP01142
DC01357	TP01205
DC01166	TP00941
DC00021	TP00631
DC01152	TP01111
DC00997	TP00818
DC01165	TP01054
DC00374	TP00357
DC00195	TP00808
DC01102	TP01349
DC01827	TP00775
DC01734	TP01524
DC01670	TP01217
DC01938	TP01529
DC01574	TP01553
DC01278	TP00287
DC00412	TP01228
DC00784	TP00820
DC01344	TP00760
DC00932	TP00376
DC00594	TP00731
DC00191	TP00625
DC00005	TP00625
DC01438	TP00625
DC01193	TP01058
DC00151	TP01106
DC01670	TP01195
DC01660	TP00655
DC01528	TP01406
DC01239	TP00673
DC00692	TP01121
DC00995	TP00117
DC01554	TP00980
DC01412	TP00724
DC01765	TP00841
DC01707	TP01533
DC00643	TP01540
DC00966	TP01341
DC00468	TP01544
DC01806	TP00223
DC00619	TP01351
DC01188	TP01014
DC01828	TP00688
DC01769	TP01234
DC01139	TP01596
DC00686	TP00992
DC00542	TP00637
DC00969	TP01062
DC01857	TP00668
DC01602	TP00205
DC00114	TP00767
DC00435	TP01130
DC01118	TP01392
DC01969	TP00141
DC01109	TP01514
DC01351	TP00297
DC01353	TP00216
DC01292	TP00286
DC01137	TP00809
DC01812	TP00223
DC01854	TP01634
DC00491	TP01265
DC01399	TP00709
DC00952	TP00412
DC00069	TP00234
DC00872	TP01402
DC00487	TP01207
DC01725	TP01578
DC00142	TP00263
DC00423	TP00164
DC01564	TP01567
DC01835	TP00794
DC00955	TP01552
DC01545	TP01411
DC00624	TP01486
DC00970	TP00939
DC01659	TP00656
DC01300	TP01551
DC01660	TP00630
DC01731	TP01125
DC01670	TP01209
DC00022	TP00650
DC00298	TP00246
DC01886	TP01357
DC00532	TP01097
DC00491	TP01192
DC01135	TP00823
DC01669	TP01198
DC01709	TP00302
DC00662	TP01469
DC00613	TP01063
DC00819	TP01474
DC01195	TP00656
DC00535	TP01447
DC00399	TP00631
DC00199	TP00826
DC00269	TP00360
DC01672	TP01264
DC01892	TP00979
DC01031	TP00933
DC00562	TP00245
DC00769	TP01586
DC00372	TP00806
DC00690	TP01008
DC00956	TP01551
DC00435	TP01385
DC00999	TP01256
DC01344	TP00750
DC01154	TP01125
DC00142	TP00255
DC00437	TP01345
DC01165	TP01023
DC00069	TP00235
DC00533	TP01302
DC00156	TP01534
DC00812	TP01527
DC00820	TP01469
DC00074	TP01400
DC00487	TP01164
DC00154	TP01607
DC00611	TP01472
DC01672	TP01157
DC01897	TP01437
DC01442	TP01141
DC01669	TP01250
DC00999	TP01257
DC00711	TP00148
DC01167	TP00940
DC01708	TP01350
DC00777	TP01234
DC01555	TP00979
DC01175	TP01065
DC00021	TP00656
DC00352	TP00385
DC01031	TP00936
DC00612	TP01505
DC01652	TP00631
DC00680	TP01323
DC00561	TP01593
DC01948	TP00177
DC00958	TP01159
DC00604	TP01412
DC00804	TP01202
DC00703	TP01529
DC00621	TP01034
DC00613	TP01033
DC00118	TP00219
DC00557	TP00822
DC00522	TP00118
DC00469	TP01194
DC00957	TP01484
DC01726	TP00792
DC01851	TP00961
DC01812	TP01427
DC01031	TP00931
DC00690	TP01009
DC00839	TP01019
DC00806	TP00984
DC01911	TP01169
DC01031	TP00928
DC01495	TP01200
DC00801	TP01483
DC00354	TP00204
DC00487	TP01194
DC01881	TP01255
DC00298	TP00239
DC00700	TP00775
DC00005	TP00650
DC00622	TP01424
DC01502	TP01589
DC01188	TP01012
DC01959	TP01170
DC00497	TP00630
DC00051	TP00803
DC00525	TP01431
DC01970	TP01337
DC00081	TP00660
DC01657	TP00628
DC00522	TP00119
DC00265	TP00373
DC00692	TP01107
DC01699	TP00775
DC01954	TP01242
DC00548	TP00206
DC01036	TP01398
DC00684	TP00587
DC01670	TP01165
DC00381	TP00775
DC00502	TP01429
DC01152	TP01125
DC01656	TP00636
DC00721	TP01540
DC00622	TP01441
DC01120	TP01142
DC01156	TP01050
DC01670	TP01166
DC01911	TP01156
DC01812	TP00140
DC01678	TP01171
DC01905	TP01466
DC00054	TP00803
DC01143	TP00395
DC00522	TP00120
DC01262	TP01602
DC01196	TP01090
DC01430	TP00809
DC00995	TP00120
DC00491	TP01236
DC01514	TP00442
DC00395	TP01398
DC00852	TP00452
DC01814	TP01282
DC01859	TP00636
DC00239	TP01593
DC00981	TP01288
DC01806	TP00224
DC01126	TP01169
DC00269	TP00364
DC00348	TP00404
DC01693	TP01090
DC01678	TP01189
DC01392	TP00600
DC01355	TP00448
DC00798	TP00152
DC00033	TP00656
DC00371	TP01137
DC01357	TP01266
DC01670	TP01182
DC00533	TP01301
DC00532	TP01103
DC01415	TP00717
DC00522	TP00121
DC00539	TP01440
DC00391	TP00162
DC01673	TP00954
DC00608	TP01565
DC01237	TP00656
DC01680	TP00842
DC00998	TP01046
DC00823	TP01469
DC00619	TP01366
DC01318	TP01292
DC01543	TP01406
DC00719	TP01105
DC00514	TP00166
DC00999	TP01163
DC01881	TP01254
DC00406	TP01588
DC01169	TP00630
DC01153	TP01378
DC00491	TP01244
DC01989	TP01422
DC01412	TP00725
DC01099	TP01026
DC00194	TP00811
DC01617	TP01420
DC00915	TP01494
DC01812	TP00141
DC01238	TP00631
DC00141	TP00254
DC01654	TP00630
DC00639	TP01059
DC00184	TP00818
DC00548	TP01635
DC01970	TP01332
DC01231	TP00591
DC00840	TP01304
DC01865	TP01488
DC01866	TP01070
DC00974	TP01629
DC01942	TP00264
DC01138	TP00815
DC00108	TP00987
DC00190	TP00814
DC01513	TP01446
DC01103	TP00722
DC01347	TP00786
DC00849	TP00447
DC01886	TP01356
DC01399	TP00706
DC01443	TP00172
DC01433	TP00650
DC01670	TP01226
DC01669	TP01185
DC00995	TP00121
DC00920	TP00366
DC01399	TP00702
DC01669	TP01168
DC01399	TP00701
DC01859	TP00661
DC00645	TP01378
DC00602	TP00589
DC00084	TP00392
DC00775	TP01566
DC00482	TP01076
DC00804	TP01253
DC01951	TP01375
DC01599	TP01285
DC00279	TP00349
DC01500	TP01347
DC01136	TP00826
DC00141	TP00247
DC01184	TP01031
DC00897	TP01396
DC00021	TP00655
DC01200	TP01384
DC01393	TP00440
DC00537	TP00636
DC01838	TP01593
DC01857	TP00643
DC01194	TP00673
DC01007	TP00363
DC01584	TP01540
DC01959	TP01157
DC01840	TP01024
DC01131	TP00810
DC01670	TP01249
DC00316	TP00391
DC00544	TP00223
DC01360	TP01353
DC00117	TP00965
DC00696	TP00775
DC00439	TP01475
DC01537	TP00653
DC00158	TP00669
DC01498	TP00299
DC01863	TP00978
DC00188	TP00811
DC00015	TP00656
DC01560	TP00693
DC01461	TP01529
DC01110	TP01220
DC00690	TP01041
DC01767	TP01285
DC00415	TP01586
DC00959	TP00198
DC00532	TP01098
DC00599	TP01466
DC01275	TP00279
DC00334	TP00721
DC01399	TP00707
DC01329	TP00699
DC01416	TP00702
DC01416	TP00705
DC01182	TP01006
DC00702	TP01151
DC00295	TP00386
DC00690	TP01053
DC00990	TP00428
DC00469	TP01268
DC00949	TP00380
DC01960	TP00981
DC00766	TP01452
DC01187	TP00941
DC00342	TP00366
DC00933	TP00398
DC00963	TP00683
DC00611	TP01470
DC01096	TP01058
DC00522	TP00122
DC01754	TP01200
DC00999	TP01161
DC00616	TP00831
DC01522	TP01416
DC01490	TP01454
DC00502	TP01448
DC01127	TP00603
DC01031	TP00938
DC00154	TP01606
DC00522	TP00123
DC01669	TP01210
DC01719	TP00164
DC00522	TP00124
DC01935	TP01404
DC01567	TP00723
DC01344	TP00752
DC01110	TP01242
DC01565	TP01458
DC00066	TP00286
DC00496	TP00223
DC00457	TP01515
DC01511	TP00671
DC00076	TP00377
DC01811	TP01416
DC00686	TP00991
DC00321	TP00369
DC00059	TP00284
DC01777	TP00775
DC01987	TP00172
DC00549	TP00208
DC00200	TP00625
DC00522	TP00125
DC00537	TP00661
DC01177	TP00656
DC01858	TP00630
DC01508	TP01314
DC00162	TP01466
DC01416	TP00711
DC01163	TP00630
DC01257	TP00685
DC00641	TP00643
DC00469	TP01207
DC01728	TP01073
DC01432	TP00828
DC00995	TP00126
DC01892	TP00980
DC01954	TP01169
DC00977	TP00584
DC01482	TP01326
DC01651	TP00655
DC00889	TP00981
DC00967	TP00203
DC00285	TP00401
DC00803	TP01483
DC00383	TP00775
DC00699	TP01335
DC01126	TP01220
DC01785	TP01090
DC00435	TP01116
DC00522	TP00126
DC01782	TP00693
DC00183	TP00342
DC00804	TP01158
DC01241	TP01404
DC01754	TP01157
DC01659	TP00630
DC01862	TP00630
DC00170	TP00173
DC00804	TP01159
DC00142	TP00249
DC01678	TP01202
DC01670	TP01218
DC01106	TP01509
DC00868	TP01536
DC00610	TP00195
DC00873	TP01451
DC01945	TP00941
DC00302	TP00352
DC00080	TP01394
DC00274	TP00394
DC00619	TP01353
DC01742	TP01589
DC00793	TP00313
DC01718	TP01581
DC01586	TP01469
DC00626	TP00584
DC01108	TP01500
DC01238	TP00630
DC00437	TP01344
DC00621	TP01033
DC01413	TP00721
DC01602	TP00208
DC01859	TP00662
DC00022	TP00625
DC00886	TP00623
DC01252	TP00302
DC01946	TP00189
DC01437	TP00812
DC01088	TP01111
DC00487	TP01238
DC01887	TP00186
DC00954	TP01552
DC00790	TP00188
DC00036	TP00628
DC01669	TP01155
DC01031	TP00929
DC01168	TP00655
DC00404	TP00197
DC01319	TP01293
DC00491	TP01235
DC00522	TP00127
DC00930	TP00339
DC00419	TP00926
DC00664	TP01436
DC01588	TP00228
DC00469	TP01247
DC00081	TP00635
DC01608	TP00192
DC00266	TP00339
DC00277	TP00379
DC01480	TP01499
DC01348	TP00769
DC00495	TP00837
DC01250	TP01043
DC00883	TP01312
DC01594	TP01170
DC01888	TP01279
DC00987	TP00599
DC00035	TP00628
DC01116	TP01510
DC01126	TP01156
DC01914	TP00231
DC00352	TP00384
DC01860	TP00653
DC00080	TP01393
DC01310	TP00784
DC00525	TP01451
DC01184	TP01065
DC00379	TP01539
DC00491	TP01266
DC00885	TP00620
DC00621	TP01066
DC01670	TP01177
DC00015	TP00655
DC01164	TP01036
DC00973	TP01487
DC01725	TP01579
DC01297	TP01484
DC00692	TP01149
DC01670	TP01153
DC00117	TP00967
DC01166	TP00940
DC01595	TP00798
DC00451	TP01296
DC00188	TP00810
DC01692	TP00179
DC01944	TP01042
DC01732	TP01551
DC00144	TP01441
DC00428	TP00333
DC01962	TP01153
DC00491	TP01214
DC01811	TP01435
DC00804	TP01201
DC00039	TP00630
DC01911	TP01220
DC01018	TP00128
DC01173	TP00631
DC00621	TP01065
DC00815	TP00129
DC00459	TP01342
DC00184	TP00819
